,SampleID,Hours,Biomass (g/L),OD600 (N/A),Phase,SampleVolume (L),Maltose (g/L),Propionate (g/L),Acetate (g/L),Ethanol (g/L),Formate (g/L),Glucose (g/L),Lactate (g/L),Succinate (g/L),norbaeocystin (g/L),Baeocystine (g/L),4-hydroxytryptamine (g/L),tryptophan (g/L),serotonin (g/L),psilocybin (g/L),psilocin (g/L),tryptamine (g/L)
6,27-PSI_F505_C2_R1_T11,90.24361111111111,69.3504,168.0,3,0.004,,0.010039068407046008,,,0.05354101275347156,,,0.0045508043712751646,,0.00485060630625,,,,0.2217069380698,0.052642071328500004,0.0021146764876
8,27-PSI_F505_C2_R1_T12,93.21583333333334,86.688,210.0,3,0.008,,0.0069093658705777425,,,0.05268153570165605,,,0.004945731956423187,,0.0067505393655,,,,0.24584165259439997,0.055186873721549984,0.0026279941302
5,27-PSI_F505_C2_R1_T13,95.49277777777777,99.6912,241.5,3,0.008,,0.006435103360389611,,,0.056388856907852,,,0.005352842397668336,,0.007375648155750002,,,,0.2473358800828,0.040807433364300004,0.0019432587117999998
7,27-PSI_F505_C2_R2_T5,42.2425,17.296319999999998,41.9,3,0.008,,0.003381512085244452,0.002502092895675462,,0.0075367923573374076,,,0.001824255325609675,,0.00053491308975,,,,0.022252255654599998,0.014146857162179997,0.004614195006399999
8,27-PSI_F505_C2_R2_T6,45.00666666666667,24.1488,58.5,3,0.008,,0.002905255702003788,,,0.004569285746842152,,,0.0006130944664538522,1.390496844e-05,0.0007129292130000001,5.813079795e-06,1.1792990229999999e-05,2.6519605e-07,0.029838213849480003,,0.00366166788
6,27-PSI_F505_C2_R2_T7,48.07555555555555,29.3088,71.0,3,0.007,,,,,0.007170350253162591,,,0.001503826227645833,,0.010677176138250002,,,,0.02637102733932,0.01237241932038,0.00018128732779999998
5,27-PSI_F505_C2_R2_T8,65.93805555555555,55.97568,135.6,3,0.009000000000000001,,0.0028339854789497967,,,0.021358741234593033,,,0.0024803963084036517,1.6551026855000003e-05,0.00827844826275,5.238811405e-06,1.111344818e-05,5.0871827e-07,0.034008489154079995,0.010564376527349999,9.56529422e-05
3,27-PSI_F505_C2_R2_T9,69.12861111111111,56.63616,137.2,3,0.008,,,,,0.028633628652443698,,,0.0025878852426967688,,0.007295477802750001,,,,0.03314871781472,0.008354001718979999,0.000135978714
2,27-PSI_F505_C2_R2_T10,72.06861111111111,71.4144,173.0,3,0.008,,,0.0013127384397304265,,0.029360892583121898,,,0.0036329731512385758,6.256800274999999e-06,0.006907661691750001,2.0845643000000004e-06,1.0780365359999999e-05,1.7365495500000002e-07,0.03455206993872,0.007116254415540001,0.00010522608719999999
4,27-PSI_F505_C2_R2_T11,90.24361111111111,77.6064,188.0,3,0.004,,0.0029520554622066305,,,0.042970394964398896,,,0.005255750403327269,,0.00420690873825,,,,0.03878524168336,0.01052541758079,0.0002338282724
1,27-PSI_F505_C2_R2_T12,93.21583333333334,95.7696,232.0,3,0.008,,0.002609163101504774,,,0.0434863364546327,,,0.005927683599216455,,0.0037457859892500002,,,,,0.0049435373347199996,0.00017231180339999998
0,27-PSI_F505_C2_R2_T13,95.49277777777777,100.5168,243.5,3,0.008,,,,,0.04759588348795495,,,0.006580768024637138,,0.0033272074642500004,,,,,0.00469230197202,0.0001682374088
6,27-PSI_F505_C2_R3_T5,42.2425,16.7184,40.5,3,0.008,,,,,0.007950444793951903,,,,,0.009745080938999999,,,,0.014791177890880003,0.006038224085340001,0.00027828611799999995
8,27-PSI_F505_C2_R3_T6,45.00666666666667,21.71328,52.6,3,0.008,,,,,,,,,1.368746313e-05,0.009745353866249999,6.2907851050000005e-06,1.250959821e-05,2.74623285e-07,0.01542628781952,0.006845596776,0.00022247348099999997
7,27-PSI_F505_C2_R3_T7,48.07555555555555,32.28096,78.2,3,0.007,,,,,,,,,,0.009200847788999999,,,,0.01572368647452,0.006727159290599999,0.0001754553198
5,27-PSI_F505_C2_R3_T8,65.93805555555555,49.86624,120.8,3,0.009000000000000001,,,,,0.021720687116630746,,,0.0026714311442326507,1.297935397e-05,0.007306938045000001,5.2827758e-06,1.2933354709999999e-05,3.30305645e-07,0.020665012384239997,0.006024460170599999,0.00010999102999999999
2,27-PSI_F505_C2_R3_T9,69.12861111111111,59.77344000000001,144.8,3,0.008,,,,,0.023726564217550882,,,0.0024913489723245143,,0.0064306470105000004,,,,0.01981565319564,0.004511883972959999,0.00011974842799999999
3,27-PSI_F505_C2_R3_T10,72.06861111111111,60.6816,147.0,3,0.008,,0.002910761556145298,,,0.03287300409997492,,,0.005114639337928238,1.0520826635e-05,0.006402570633000001,4.730621765e-06,1.127508831e-05,4.640490350000001e-07,0.022062264460320002,0.0046620205425,0.0001629805906
4,27-PSI_F505_C2_R3_T11,90.24361111111111,71.99232,174.4,3,0.004,,0.006701848013361043,,,0.049737771308522624,,,0.00528733482951765,,0.0034174869345000003,,,,0.023522447086679995,0.00527043745935,0.0001929721724
0,27-PSI_F505_C2_R3_T12,93.21583333333334,87.9264,213.0,3,0.008,,0.00596620472389807,,,0.056406230765629714,,,0.005575415361947808,,0.0029428745535000004,,,,0.02491791974524,0.0032657512628699995,0.0001633619142
1,27-PSI_F505_C2_R3_T13,95.49277777777777,93.7056,227.0,3,0.008,,0.005090468034612244,,,0.0582530540084495,,,0.005725441386352157,,0.0026273166075000006,,,,0.02632600750756,0.0042996402405,0.00028022478
