,FermID,Product,Substrate,Phase,Yield (g/g),Yield (mol/mol),R²,Std Error,biomass growth rate,ri,,,,,,,,
35,27-PSI_F503_C1_R3,Ethanol (pseudo),Biomass (pseudo),3,1.587749774409873e-05,8.478108194157342e-06,0.011869587,5.121844599754081e-05,0.0491588,7.80518742760335e-07,,,,,,,,
36,27-PSI_F503_C1_R3,Formate (pseudo),Biomass (pseudo),3,0.000452187,0.000247102,0.9652660564807656,2.7125128757287288e-05,0.0491588,2.222898103782585e-05,,,,,,,,
37,27-PSI_F503_C1_R3,Glucose (pseudo),Biomass (pseudo),3,,,,,0.0491588,,,,,,,,,
38,27-PSI_F503_C1_R3,Lactate (pseudo),Biomass (pseudo),3,,,,,0.0491588,,,,,,,,,
39,27-PSI_F503_C1_R3,Maltose (pseudo),Biomass (pseudo),3,,,,,0.0491588,,,,,,,,,
40,27-PSI_F503_C1_R3,Propionate (pseudo),Biomass (pseudo),3,,,,,0.0491588,,,,,,,,,
41,27-PSI_F503_C1_R3,Succinate (pseudo),Biomass (pseudo),3,,,,,0.0491588,,,,,,,,,
42,27-PSI_F503_C1_R3,norbaeocystin (pseudo),Biomass (pseudo),3,1.279226396872221e-06,1.2283449534742432e-07,0.8918662813250873,4.45428610854958e-07,0.0491588,6.28852351349659e-08,,,,,,,,
43,27-PSI_F503_C1_R3,psilocin (pseudo),Biomass (pseudo),3,0.000868246,0.00010456,0.8928231823359525,9.070145730601528e-05,0.0491588,4.268194329291237e-05,,,,,,,,
44,27-PSI_F503_C1_R3,psilocybin (pseudo),Biomass (pseudo),3,0.005313199,0.00045982,0.9579104347575826,0.000335803,0.0491588,0.00026119,,,,,,,,
45,27-PSI_F503_C1_R3,serotonin (pseudo),Biomass (pseudo),3,3.4185440791958796e-09,4.772497834868545e-10,0.021212564,2.3221421313300492e-08,0.0491588,1.6805152611383444e-10,,,,,,,,
46,27-PSI_F503_C1_R3,tryptamine (pseudo),Biomass (pseudo),3,1.1484696875583308e-06,1.7633475417510265e-07,0.003274487,6.0414243588168175e-06,0.0491588,5.6457392158317485e-08,,,,,,,,
47,27-PSI_F503_C1_R3,tryptophan (pseudo),Biomass (pseudo),3,2.0195626038444868e-08,2.432731370804739e-09,0.009761591,2.034074666039116e-07,0.0491588,9.927927497671103e-10,,,,,,,,
48,27-PSI_F503_C1_R4,4-hydroxytryptamine (pseudo),Biomass (pseudo),3,1.5547216429040113e-07,2.1704870560943582e-08,0.9353345833304568,4.087946357178981e-08,0.050174965,7.800810364876463e-09,,,,,,,,
49,27-PSI_F503_C1_R4,Acetate (pseudo),Biomass (pseudo),3,8.87441965131779e-06,3.697674854715746e-06,1,0,0.050174965,4.452736932957027e-07,,,,,,,,
50,27-PSI_F503_C1_R4,Baeocystine (pseudo),Biomass (pseudo),3,8.580973311505463e-05,7.811710369619184e-06,0.8979095411639496,7.733014385056106e-06,0.050174965,4.30550033535829e-06,,,,,,,,
