,SampleID,Hours,Biomass (g/L),OD600 (N/A),Phase,SampleVolume (L),Glucose (g/L),Succinate (g/L),Formate (g/L),Ethanol (g/L),Acetate (g/L),Propionate (g/L),Maltose (g/L),Lactate (g/L),psilocybin (g/L),serotonin (g/L),tryptophan (g/L),4-hydroxytryptamine (g/L),psilocin (g/L),Baeocystine (g/L),norbaeocystin (g/L),tryptamine (g/L)
6,27-PSI_F506_C2_R2_T8,52.41,31.86816,77.2,3,0.008,,0.0014954206948693603,0.007296244473001797,,,,,,0.007962481236599999,,,,0.0015261297111899999,0.0004688971222500001,,8.745288259999999e-05
7,27-PSI_F506_C2_R2_T9,70.40666666666667,67.36896,163.2,3,0.008,,0.0033520245860127313,0.023062247396792242,,,,,,0.01350925253624,3.54270205e-07,2.3789792019999998e-05,6.043562475000001e-06,0.0015980235935399995,0.00047641478175,2.33004805e-06,8.61038302e-05
5,27-PSI_F506_C2_R2_T10,73.57138888888889,69.144,167.5,3,0.007,,0.0029044936439439908,0.02520806941172976,,,,,,0.014022705451399999,,,,0.0014285709691199996,0.000447308847,,7.83379668e-05
4,27-PSI_F506_C2_R2_T11,76.59361111111112,74.46912,180.4,3,0.007,,0.004594515158244501,0.0321963226683394,,,,,,0.014810541137119998,1.37708115e-07,3.5304838829999994e-05,6.742939965000001e-06,0.00124130982456,0.00039855755475,2.23269585e-06,8.908232e-05
8,27-PSI_F506_C2_R2_T12,94.60888888888888,74.7168,181.0,3,0.01,,0.12108704862053611,,0.009297196042321135,,,,,0.02644091922108,,,,0.0017018453457899995,0.00044434988324999996,,0.0001466301396
8,27-PSI_F506_C2_R3_T6,46.195,4.871040000000001,11.8,3,0.008,9.36698219652708,0.045139239288361284,,0.01808865522213539,0.002878959621659454,,,,0.0037519615338400003,,,,0.0026467080645599995,0.000372099825,,0.0072774551607999996
2,27-PSI_F506_C2_R3_T7,49.575,6.93504,16.8,3,0.007,10.771446409171636,0.00983982232387981,,0.02095316304495374,0.006397337925114235,,,,0.00420441965484,5.2598685e-07,9.154049179e-05,1.0475155870000001e-05,0.0018936393082199998,0.000373040208,2.641651947e-05,0.006264435371199999
6,27-PSI_F506_C2_R3_T8,52.41,11.47584,27.8,3,0.008,4.81848253371458,0.008814602038264209,,0.02614085787997377,0.006232702721080524,0.0020579659257824266,,,0.006713824736039999,,,,0.00215513326098,0.00053793420525,,0.005667665539399999
4,27-PSI_F506_C2_R3_T9,70.40666666666667,39.29856,95.2,3,0.008,,0.003359156553217009,0.02090743293758032,,,,,,0.01618970910096,1.008714145e-06,5.379318176e-05,8.195262784999998e-06,0.00195437988477,0.0006969697244999999,3.8185119499999995e-06,0.00045069885999999995
3,27-PSI_F506_C2_R3_T10,73.57138888888889,43.59168,105.6,3,0.007,,0.0030942549142008186,0.017334622421876018,,,,,,0.01752156900444,,,,0.0019390246833599996,0.0007000394805,,0.0002664650864
7,27-PSI_F506_C2_R3_T11,76.59361111111112,50.19648,121.6,3,0.007,,0.004005618437662341,0.03153650206971772,0.049559543729567654,,,,,0.023601301434,2.4572484500000006e-07,4.261172832e-05,6.749107315e-06,0.00253867624578,0.0008459096377500001,2.7645462900000004e-06,0.000233192199
1,27-PSI_F506_C2_R3_T12,94.60888888888888,71.8272,174.0,3,0.01,,0.009614604988093129,0.08260223258643688,,,,,,0.0469279870108,,,,0.0033968475460799995,0.00104990249025,,0.0002518626356
0,27-PSI_F506_C2_R3_T13,97.65,79.8768,193.5,3,0.008,,0.005642404911045133,0.04624701684682064,,,,,,0.0230966546458,,,,0.0016355832700499999,0.0004816868715,,0.00012429707379999998
5,27-PSI_F506_C2_R3_T14,106.0286111111111,87.67872,212.4,3,0.004,,0.007983218432736404,0.06157126594563954,,,,,,0.028478068029480004,,,,0.0019605856985099998,0.000519340023,,0.0001622099324
1,27-PSI_F506_C2_R4_T4,25.635555555555555,9.0816,22.0,3,0.006,,0.0008176290973480925,,,,0.002606104293648356,,,0.00405788490632,,,,0.00077602699881,0.00045128926125,,0.0004421703494
0,27-PSI_F506_C2_R4_T5,28.6175,9.82464,23.8,3,0.007,,0.00024401516363222587,0.008955350441596859,,,,,,0.00453971478648,,,,0.0007652679399,0.0004960979707500001,,0.00038628401119999994
3,27-PSI_F506_C2_R4_T6,46.195,22.00224,53.3,3,0.008,,0.001369847129451091,0.010399761803144702,,,,,,0.00675591108716,,,,0.0009393616468799999,0.00047601484875000005,,0.0001071343074
2,27-PSI_F506_C2_R4_T7,49.575,30.1344,73.0,3,0.007,,0.0018390286862470992,0.014939822106095624,0.10331621413865594,,,,,0.00665784130464,2.50482515e-07,4.849969725e-05,6.9740393800000015e-06,0.00093135005982,0.00042368037300000004,2.3338909e-06,8.471632499999998e-05
4,27-PSI_F506_C2_R4_T8,52.41,32.94144,79.8,3,0.008,,0.0019258858582706857,0.010955045237078328,,,,,,0.009323749852,,,,0.0012634223768099998,0.0005290654207500001,,9.968567959999999e-05
7,27-PSI_F506_C2_R4_T9,70.40666666666667,60.43392,146.4,3,0.008,,0.003329609831942149,0.033438404033717145,,,,,,0.01464365110288,3.23433455e-07,3.0087324160000002e-05,5.704182015e-06,0.00156696184116,0.00046450866825,2.4363669e-06,0.00011290222739999999
6,27-PSI_F506_C2_R4_T10,73.57138888888889,66.37824,160.8,3,0.007,,0.005520652042343471,0.03303037187477393,,,,,,0.01597200902172,,,,0.00144146876634,0.000453134898,,0.0001128365372
5,27-PSI_F506_C2_R4_T11,76.59361111111112,69.02015999999999,167.2,3,0.007,,0.005119733600217029,0.02928108464018804,,,,,,0.01683339775496,2.71980135e-07,3.4520225590000004e-05,6.390079440000001e-06,0.00143349394842,0.00045467247824999997,3.48315924e-06,0.0001273652868
8,27-PSI_F506_C2_R4_T12,94.60888888888888,83.3856,202.0,3,0.01,,0.00714225761410576,,,,0.025988732718758626,,,0.029602733807640003,,,,0.0020191997931299998,0.0005919819075000001,,0.000162415014
